날짜,기사제목
 2023.05.31 08:54,"현대자동차·기아, 차에서 동영상 스트리밍 서비스 제공"
 2023.05.31 17:41,[유가증권시장 공시] 기아 / 넥센
 2023.05.31 17:31,"""기아·현대제철 공장 일시중단""…금속노조 총파업에 곳곳 생산 차질"
 2023.05.31 17:27,"기아, 광명2공장 가동 연말까지 중단…""전기차 공장 전환공사"""
 2023.05.31 15:49,"기아, 내달부터 7개월간 광명2공장 전면 가동 중단"
 2023.05.31 08:01,"기아, 광명2공장 전기차 전환 스타트…""연내 완공 목표"""
 2023.05.31 16:19,"기아, 전국 사업장 생산중단...“전차종 생산차질”"
 2023.05.31 16:14,"현대차·기아, SW 업그레이드 후에도 美서 도난 사건 지속"
 2023.05.31 11:27,"'세번이나 털렸다'…현대·기아차, 美 리콜 요구 커지나"
 2023.05.31 01:41,현대차·기아 업데이트 이후에도 미국서 도난사건 이어져
 2023.05.31 16:00,"""현대차·기아, 전동화 전환 기술은 우수…비전은 강화해야"""
 2023.05.31 14:17,"""폰 연결 없어도 OK""…웨이브, 현대차·기아·제네시스와 '시네마' 기..."
 2023.05.31 14:11,[주가동향] 자동차 판매 호조로 외국인 '자동차주' 매수 급증... 현...
 2023.05.31 08:44,"기아, 전기차 비중 확대로 '깜짝 실적' 이어간다…'매수' 의견-SK"
 2023.05.31 08:05,"기아, 매분기 호실적으로 계단식 주가 상승…목표가 13만원-SK"
 2023.05.31 14:17,"""폰 연결 없어도 OK""…웨이브, 현대차·기아·제네시스와 '시네마' 기..."
 2023.05.31 14:11,[주가동향] 자동차 판매 호조로 외국인 '자동차주' 매수 급증... 현...
 2023.05.31 08:44,"기아, 전기차 비중 확대로 '깜짝 실적' 이어간다…'매수' 의견-SK"
 2023.05.31 08:05,"기아, 매분기 호실적으로 계단식 주가 상승…목표가 13만원-SK"
 2023.05.31 11:27,"'세번이나 털렸다'…현대·기아차, 美 리콜 요구 커지나"
 2023.05.31 01:41,현대차·기아 업데이트 이후에도 미국서 도난사건 이어져
 2023.05.31 11:21,기아 ‘니로 플러스’ 택시·법인 맞춤 전략 통했다
 2023.05.31 10:38,"현대차·기아 車안에서 왓챠·웨이브 본다…""스트리밍 서비스 시작"""
 2023.05.31 09:39,"차에서 왓챠·웨이브 본다…현대차·기아 대규모 업데이트, 대상은?"
 2023.05.31 10:10,"""차에서 OTT 보자""…현대차·기아, 인포테이션 업데이트"
 2023.05.31 09:32,"현대차·기아, 차 안에서 왓챠·웨이브 본다"
 2023.05.31 09:06,현대차·기아 차 안에서 왓챠·웨이브·팟빵 감상한다
 2023.05.31 08:54,"현대자동차·기아, 차에서 동영상 스트리밍 서비스 제공"
 2023.05.31 09:46,"기아, ‘봉고 LPI’ 위해 설비공사 돌입…LPG 상용차 시장 부활 이..."
 2023.05.31 08:44,'중고차 시장이 들썩인다'...7~8월 현대차·기아 본격 진출
 2023.05.31 08:01,"기아, 광명2공장 전기차 전환 스타트…""연내 완공 목표"""
 2023.05.30 23:32,"“현대차·기아車만 턴다” 美 도둑질 챌린지 여전, 왜?"
 2023.05.30 23:24,"""현대차·기아, 업그레이드 후에도 미국서 계속 도난 사건"""
 2023.05.31 08:54,"현대자동차·기아, 차에서 동영상 스트리밍 서비스 제공"
 2023.05.31 08:44,'중고차 시장이 들썩인다'...7~8월 현대차·기아 본격 진출
 2023.05.31 08:44,"기아, 전기차 비중 확대로 '깜짝 실적' 이어간다…'매수' 의견-SK"
 2023.05.31 08:05,"기아, 매분기 호실적으로 계단식 주가 상승…목표가 13만원-SK"
 2023.05.31 08:01,"기아, 광명2공장 전기차 전환 스타트…""연내 완공 목표"""
 2023.05.31 01:41,현대차·기아 업데이트 이후에도 미국서 도난사건 이어져
 2023.05.30 23:32,"“현대차·기아車만 턴다” 美 도둑질 챌린지 여전, 왜?"
 2023.05.30 23:24,"""현대차·기아, 업그레이드 후에도 미국서 계속 도난 사건"""
 2023.05.30 18:24,"외국인 몰리는 현대차·기아, 2차 랠리 시동거나"
 2023.05.30 16:53,"기아, 유럽향 EV9 공개...현지 전동화 전환 박차"
 2023.05.30 15:57,"기아, EV9 첫 공개…""2030년 유럽서 전기차 51만5000대 판..."
 2023.05.30 15:56,"""유럽EV시장 공략"" 기아, 獨서 유럽향 EV9 실물 첫 공개"
 2023.05.30 15:01,"기아, EV9 유럽 모델 공개…중장기 전동화 '박차'"
 2023.05.30 15:01,"기아, 유럽향 EV9 공개 … 전동화 전환 박차"
 2023.05.30 15:00,"""한국차와 또 다른 모습""…기아 'EV9' 유럽모델 공개"
 2023.05.30 15:00,"기아, 유럽맞춤형 EV9 첫 공개…현지시장서 전동화 전환 박차"
 2023.05.30 15:42,"기아, EV9 유럽모델 공개"
 2023.05.30 15:38,"기아, 유럽향 EV9 공개"
 2023.05.30 15:23,"기아, 독일서 개최한 '기아 브랜드 써밋' 통해 EV9 처음 공개"
 2023.05.30 15:23,기아 브랜드 써밋 환영사하는 정원정 본부장
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:22,독일에서 개최한 '기아 브랜드 써밋' 행사
 2023.05.30 15:20,유럽 상륙한 ‘기아 EV9’…색상도 전면 디자인도 국내와 다르다?
 2023.05.30 15:10,"기아, 독일서 EV9 실물 공개…“2030년 유럽서 전기차 51만대 ..."
 2023.05.30 15:06,"기아, 유럽에 EV9 공개…테슬라 잡으러 간다"
 2023.05.30 15:02,국내 사전계약 1만대 '기아 EV9' 유럽 간다…현지 공략 박차
 2023.05.30 15:01,"기아, 유럽향 EV9 공개..전기차 시장 공략 가속화"
 2023.05.30 15:00,"기아, EV9 유럽모델 공개…""유럽 짜릿하게 할 최첨단 전기차"""
 2023.05.30 15:57,"기아, EV9 첫 공개…""2030년 유럽서 전기차 51만5000대 판다..."
 2023.05.30 15:56,"""유럽EV시장 공략"" 기아, 獨서 유럽향 EV9 실물 첫 공개"
 2023.05.30 15:01,"기아, EV9 유럽 모델 공개…중장기 전동화 '박차'"
 2023.05.30 15:01,"기아, 유럽향 EV9 공개 … 전동화 전환 박차"
 2023.05.30 15:00,"""한국차와 또 다른 모습""…기아 'EV9' 유럽모델 공개"
 2023.05.30 15:00,"기아, 유럽맞춤형 EV9 첫 공개…현지시장서 전동화 전환 박차"
 2023.05.30 15:42,"기아, EV9 유럽모델 공개"
 2023.05.30 15:38,"기아, 유럽향 EV9 공개"
 2023.05.30 15:23,"기아, 독일서 개최한 '기아 브랜드 써밋' 통해 EV9 처음 공개"
 2023.05.30 15:23,기아 브랜드 써밋 환영사하는 정원정 본부장
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:22,독일에서 개최한 '기아 브랜드 써밋' 행사
 2023.05.30 15:20,유럽 상륙한 ‘기아 EV9’…색상도 전면 디자인도 국내와 다르다?
 2023.05.30 15:10,"기아, 독일서 EV9 실물 공개…“2030년 유럽서 전기차 51만대 ..."
 2023.05.30 15:06,"기아, 유럽에 EV9 공개…테슬라 잡으러 간다"
 2023.05.30 15:02,국내 사전계약 1만대 '기아 EV9' 유럽 간다…현지 공략 박차
 2023.05.30 15:01,"기아, 유럽향 EV9 공개..전기차 시장 공략 가속화"
