날짜,기사제목
 2023.05.30 11:08,카카오 ‘2022 ESG 보고서’ 발간
 2023.05.30 10:03,"카카오, ESG 보고서 '카카오의 약속과 책임' 발간"
 2023.05.30 10:00,"카카오, ESG 보고서 ‘2022 약속과 책임’ 발간"
 2023.05.30 09:52,"카카오, 세 번째 ESG보고서…'서비스 장애' 대응 소개"
 2023.05.30 09:22,"카카오, ESG 보고서 ‘2022 카카오의 약속과 책임’ 발간"
 2023.05.30 17:03,"정샘물뷰티, 카카오 쇼핑 라이브서 '아티스트 팔레트 5종' 선 론칭"
 2023.05.30 16:16,네이버 수준으로 설비투자 늘리는 카카오… ‘먹통 카톡’ 오명 벗을까
 2023.05.30 14:52,"카카오, '데이터센터 화재' 대응 담긴 ESG 보고서 발간"
 2023.05.30 14:16,"카카오, '먹통 사태' 대응 담은 ESG 보고서 발간"
 2023.05.30 09:38,"카카오, 세 번째 'ESG 보고서' 발행"
 2023.05.30 09:24,"카카오, 2022 ESG 보고서 발간…지배구조 선진화 나선다"
 2023.05.30 10:36,"카카오모빌리티, OECD 산하 국제교통포럼 참여"
 2023.05.30 10:29,"카카오모빌리티, 'ITF 서밋 2023' 참가…""각국 부처·기업과 협..."
 2023.05.30 10:04,"카카오모빌리티, 각국 교통부처·기업과 협력 논의…ITF 서밋 참가"
 2023.05.30 08:22,SPC·카카오·매일유업…사옥을 짓지 않는 이유는
 2023.05.29 17:39,"알뜰폰에 진심인 카카오…""플랫폼 총동원"""
 2023.05.29 11:01,"카톡 쇼핑하기·카카오 쇼핑 라이브, 육아 제품 최대 91% 할인"
 2023.05.29 10:10,"카카오, 카카오톡 쇼핑하기 ‘베이비위크 프로모션’ 진행"
 2023.05.29 10:03,카카오톡 쇼핑하기X카카오쇼핑라이브 ‘베이비위크 프로모션’
 2023.05.29 09:45,"카카오 ""쇼핑하기·쇼핑라이브 베이비위크 프로모션…최대 91% 할인"""
 2023.05.29 09:40,"카카오, 쇼핑하기 ‘베이비위크 프로모션’ 진행"
 2023.05.28 15:58,"네이버 검색, 카카오 카카오톡 확 바뀐다…UI 개편"
 2023.05.28 13:39,"""티타임 청약 우리 특허야""…카카오VX, 스마트스코어에 소송 제기"
 2023.05.28 10:52,"“청약 기능 베꼈다” 카카오VX, 스마트스코어에 특허침해 소송 제기"
 2023.05.28 06:01,"사우디 홀릭 네카오... 네이버는 ‘네옴시티’, 카카오는 ‘관광시장’ ..."
 2023.05.27 07:02,“모두가 카카오 하길래 샀는데…700만원이 300만원 됐어요” [윤현주...
 2023.05.26 18:59,“한국 IT 혁신 궁금해요”…美 와튼스쿨 연구생들이 카카오 찾은 까닭
 2023.05.26 17:47,"美 와튼스쿨, 한국 ICT 생태계 연구 위해 카카오 방문"
 2023.05.26 14:54,美 와튼스쿨 연구생들이 카카오 방문한 이유는?
 2023.05.26 13:45,"美 와튼스쿨, 카카오에서 한국의 디지털 전환 노하우 배웠다"
 2023.05.26 10:53,美 와튼스쿨 연구생들이 카카오 찾은 까닭은?
 2023.05.26 10:09,"미국 와튼스쿨, 한국 ICT 생태계 연구 위해 카카오 방문"
