날짜,기사제목
 2023.06.06 18:28,"""인도 직장인, 돈 벌면 현대차 타고 싶어해"""
 2023.06.06 06:01,"""인도에선 현대차, 돈 벌면 타는 車""..첸나이 무역관장에게 듣다[인..."
 2023.06.05 18:55,"현대차 월드랠리팀, WRC 이탈리아 랠리 우승"
 2023.06.05 16:57,"현대차 월드랠리팀, WRC 이탈리아 랠리서 올해 첫 승"
 2023.06.05 15:42,"현대차 월드랠리팀, WRC 이탈리아 랠리 올해 첫 우승"
 2023.06.05 13:25,"현대차 월드랠리팀, WRC 이탈리아 랠리 '첫 우승' 쾌거"
 2023.06.05 09:51,"현대차 월드랠리팀, WRC 이탈리아 랠리에서 첫 우승"
 2023.06.05 09:41,WRC 이탈리아 랠리 정상 오른 현대차…올해 첫 승 신고
 2023.06.05 09:32,"현대차 월드랠리팀, WRC 이탈리아 랠리서 올해 첫 우승"
 2023.06.05 09:07,"현대차 월드랠리팀, WRC 이탈리아 랠리서 첫 우승"
 2023.06.05 08:57,"현대자동차 월드랠리팀, WRC 이탈리아 랠리에서 첫 우승 쾌거"
 2023.06.05 08:57,"현대자동차 월드랠리팀, WRC 이탈리아 랠리에서 첫 우승 쾌거"
 2023.06.05 08:54,"현대차 월드랠리팀, WRC 이탈리아 랠리에서 올해 첫 우승"
 2023.06.05 18:15,[사진] 친환경차타고 아웃도어 활동해요…현대차-이케아 맞손
 2023.06.05 17:34,"HMM, 현대LNG해운 인수전 참여…득일까 실일까"
 2023.06.05 16:28,"서울대·현대차·정부, 자동차 소재부품기업 살리기에 힘 모은다"
 2023.06.05 14:25,中 수소에너지시장 1840조원 규모로 클 것…현대차 中 진출 박차
 2023.06.05 11:23,외국인 현대차그룹株 역대최대 순매수
 2023.06.05 09:11,"현대차 밑에 삼성…외국인, ‘영업익 재계 1위’ 현대차그룹株 순매수 ..."
 2023.06.09 09:12,"현대차, 개봉 앞둔 '스파이더맨'서 미래 모빌리티 비전 선보인다"
 2023.06.09 09:09,"‘스파이더맨에 아이오닉6가?’ 현대차, 소니 픽처스와 협업"
 2023.06.09 08:47,"현대차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비전 ..."
 2023.06.09 08:47,"현대차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비전 ..."
 2023.06.09 08:47,"현대자동차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비..."
 2023.06.09 08:47,"현대자동차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비..."
 2023.06.09 08:56,"현대차, 2024년형 ‘넥쏘’ 출시…'아마존 그래이' 색상 추가"
 2023.06.09 08:53,"현대차, 수소전지차 넥쏘 연식변경 모델 출시"
 2023.06.09 08:41,"현대차, '2024 넥쏘' 출시"
