날짜,기사제목
 2023.05.25 13:29,LG에너지솔루션 오창공장서 간담회 하는 이창양 장관
 2023.05.25 13:29,LG에너지솔루션 오창공장 찾은 이창양 장관
 2023.05.25 11:59,LG에너지솔루션 오창공장 방문한 이창양 장관
 2023.05.25 11:59,"이창양 장관, LG에너지솔루션 오창공장 방문"
 2023.05.23 18:32,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 코스피 순매수 1..."
 2023.05.23 17:34,"[단독] 현대차·LG엔솔, 6조 투입 북미 배터리공장"
 2023.05.23 16:11,"""테슬라·포드 고마워""…LG엔솔·삼성SDI 등 2차전지株 일제히 강세"
 2023.05.23 11:23,"[주가동향] '2차전지 대장주' LG에너지솔루션, 실적 개선 전망에 주..."
 2023.05.23 11:04,"“국내 1위 업체 LG엔솔 규모의 경제 효과”...SK증권, 목표가 ..."
 2023.05.23 08:53,"SK증권 “LG에너지솔루션, 올해 시장 기대치 상회 실적 예상...목..."
 2023.05.23 08:50,"LG에너지솔루션, 전례 없는 업황…목표주가 68만원 -SK證"
 2023.05.23 08:49,"LG엔솔, 글로벌 2차전지 대장주로 실적 개선-SK증권"
 2023.05.23 08:07,"LG엔솔, 글로벌 2차전지 대장주…목표가 68만원-SK"
 2023.05.23 11:05,"코스피, 기관 순매수 힘입어 소폭 상승…LG엔솔 2%대 오름세"
 2023.05.23 10:10,LG에너지솔루션·에코프로 등 이차전지주 강세 [특징주]
 2023.05.22 17:31,R&D 비용·조직 확대…LG엔솔 권영수의 '스마트팩토리' 속도전
 2023.05.21 17:33,LG엔솔·스텔란티스 캐나다 공장 '청신호'
 2023.05.21 08:05,"LG에너지솔루션, 북미산 리튬 정광 확보"
 2023.05.19 18:24,"LG엔솔, 북미 리튬광산 투자"
 2023.05.19 11:30,"LG엔솔, 북미서 ‘배터리 핵심’ 리튬 공급망 강화...호주 광산업체..."
 2023.05.19 09:23,"""북미서 리튬 추가 확보""LG엔솔 공급망 강화"
 2023.05.19 09:01,"LG엔솔, 북미서 '배터리 핵심' 리튬 확보…""원재료 공급망 강화"""
 2023.05.19 08:55,"LG엔솔, 북미 현지서 리튬 정광 확보 …호주 광산업체와 계약"
 2023.05.19 15:33,"LG엔솔, 북미 배터리 핵심 광물 공급망 강화"
 2023.05.19 11:20,"LG엔솔, 북미서 배터리 핵심광물 리튬 확보"
 2023.05.19 10:02,"LG엔솔, 북미서 배터리 핵심광물 리튬 확보…“원재료 공급망 강화”"
 2023.05.19 09:04,"LG엔솔, 북미서 배터리 핵심광물 확보차 지분 투자"
 2023.05.19 09:01,"LG엔솔, 북미 리튬 공급망 추가 확보"
 2023.05.19 08:55,"LG엔솔, 북미 리튬 확보…배터리 공급망 강화"
 2023.05.19 08:50,"LG엔솔, 호주업체서 리튬 정광 공급…북미 핵심광물 공급망 강화"
 2023.05.19 14:05,"LG에너지솔루션, 호주 그린테크놀로지메탈스에 지분 투자"
 2023.05.19 09:07,"LG에너지솔루션, 북미 리튬광산 보유 호주기업과 투자 계약"
 2023.05.19 08:51,"LG엔솔, 북미 내 ‘수산화리튬’ 공급망 강화…공급·투자 계약"
 2023.05.19 10:20,"세아메카닉스, LG엔솔과 전기車 배터리 모듈커버 계약"
 2023.05.19 10:18,"[특징]세아메카닉스, LG엔솔에 북미향 전기車 배터리부품 공급…잇단 ..."
 2023.05.19 09:46,LG엔솔 첫 회사채 발행 착수…2차전지 성장성에 흥행 기대
 2023.05.19 09:07,"LG엔솔, 호주 기업 보유 북미 광산서 5년간 리튬정광 25% 받는다"
 2023.05.19 08:53,"LG엔솔, 북미 리튬광 업체에 지분 투자…원재료 공급망 강화"
 2023.05.18 19:02,"LG엔솔, 사내 발명왕 포상…""R&D 적극 장려"""
 2023.05.18 18:32,"LG엔솔, 배터리 특허 '발명왕' 6명 시상"
 2023.05.18 09:45,"""도전적 R&D 응원"" LG엔솔 발명왕 포상"
 2023.05.18 08:55,LG에너지솔루션 '2023 발명왕' 시상식
 2023.05.18 08:38,"LG엔솔, ‘발명의 날’ 맞아 특허활동 우수 임직원 포상"
 2023.05.18 08:34,"LG에너지솔루션, 사내 '발명왕' 선발…""R&D 적극 장려"""
 2023.05.18 08:31,LG엔솔 '발명왕·출원왕' 12명 포상…올해 첫 도입
 2023.05.18 11:25,LG엔솔 첫 발명왕 포상...이택수 팀장 금상
 2023.05.18 09:25,‘배터리 특허 부자’ LG엔솔의 ‘에디슨’은 누구
